Epic ID,Epic Title,Persona,User Story ID,User Story Title,Description,Acceptance Criteria,Priority,Status,Story Points,Roadmap,
E016,Recruiter Intelligence (Cloud-only),Jason,US058,Domain-specific regulatory inference engine,"As a recruiter, I want the system to intelligently infer regulatory competencies from project descriptions so candidates are positioned accurately for pharma/life science roles.","- Cloud-only feature (edition-gated behind APLIQA_EDITION=cloud)
- Infers regulatory knowledge from project context (e.g., MES project work → GAMP 5, batch record systems → 21 CFR Part 11)
- Inference confidence levels: high (≥80%), medium (50–79%), low (<50%)
- Low-confidence inferences flagged for user confirmation during interview
- High-confidence inferences auto-applied to Master Profile with enrichment_record audit
- Domain knowledge base covers: GAMP 5, 21 CFR Part 11, EU GMP Annex 11, ICH Q-guidelines, FDA Part 820, ISO 13485, MDR/IVDR, CSV/CSA frameworks
- Key monetisation differentiator for Cloud edition",Medium,Backlog,8
E012,Mobile & Cross-Device,Marcus / Priya / Emma,US043,Resume interview on different device,"As a user, I want to start an interview on desktop and finish on mobile (or vice versa) so I can work flexibly","- Session state persisted in backend
- User can switch devices mid-interview
- Progress preserved
- No data loss",Low,Backlog,5,,
E017,Mock Interview Preparation,Marcus / Priya / Emma / Dr. Weber,US060,Generate mock interview questions based on JD + Master Profile,"As a user, I want to practice answering interview questions specific to my target role so I can prepare effectively.","- System generates 5-10 role-specific interview questions based on JD + Master Profile
- Questions cover: technical skills, behavioral scenarios, industry-specific knowledge, regulatory frameworks (if applicable)
- Questions are open-ended and realistic
- User can answer via text or voice (voice optional, Phase 2.1)
- Estimated time shown upfront (1 min per question)
- Session state persisted; user can resume later",High,Backlog,5,Phase 2 (Q1 2027),
E017,Mock Interview Preparation,Marcus / Priya / Emma / Dr. Weber,US061,Evaluate candidate responses and provide feedback,"As the system, I need to evaluate user responses to mock interview questions and provide constructive feedback.","- LLM evaluates response against expected competencies
- Feedback includes: strengths, areas for improvement, suggested talking points
- Confidence score provided (0-100%)
- Feedback stored for future reference
- User can request follow-up questions on weak areas",High,Backlog,8,Phase 2 (Q1 2027),
E017,Mock Interview Preparation,Marcus / Priya / Emma / Dr. Weber,US062,Track interview practice progress,"As a user, I want to see my interview practice history and improvement over time.","- Dashboard shows: interviews completed, average confidence score, trending improvement
- Breakdown by topic (technical, behavioral, industry-specific)
- Ability to re-take interviews and compare scores
- Export practice report (PDF)",Medium,Backlog,3,Phase 2 (Q1 2027),
E018,Gamification & Engagement,Marcus / Priya / Emma,US063,Display Profile Completeness Score and Interview Readiness Score,"As a user, I want to see my Profile Completeness and Interview Readiness scores so I know how prepared I am.","- Profile Completeness Score: 0-100%, updated after each profile edit
- Interview Readiness Score: 0-100%, based on mock interview performance
- Both scores displayed prominently on dashboard
- Breakdown shown: which sections are complete, which need work
- Suggestions for improvement linked to each score",High,Backlog,3,Phase 2 (Q2 2027),
E018,Gamification & Engagement,Marcus / Priya / Emma,US064,Unlock achievement badges for milestones,"As a user, I want to earn badges for completing key milestones so I feel motivated to use the platform.","- Badges awarded for: First CV generated, 5 CVs generated, Profile 100% complete, First mock interview, 10 mock interviews, Interview score >80%
- Badges displayed on profile and dashboard
- Optional: Share badges on LinkedIn
- Leaderboard (optional, Phase 2.2): Top performers by region/industry",Medium,Backlog,5,Phase 2 (Q2 2027),
E018,Gamification & Engagement,Marcus / Priya / Emma,US065,Application streak counter,"As a user, I want to see my application streak so I stay motivated to apply regularly.","- Counter shows: consecutive days with at least 1 CV generated
- Displayed on dashboard with visual indicator (fire emoji, etc.)
- Streak resets if user doesn't apply for 2+ days
- Notifications: 'Keep your streak alive!' reminders",Low,Backlog,2,Phase 2 (Q2 2027),
E019,Career Path Advisory,Marcus / Priya / Emma,US066,Suggest career paths based on Master Profile and market data,"As a user, I want to see potential career trajectories based on my experience so I can plan my next move.","- System analyzes Master Profile and identifies 2-3 potential career paths
- Each path shows: typical progression, required skills, salary ranges, job market demand
- Paths are informational only (not professional career counseling)
- Disclaimer: 'This is informational guidance, not professional advice'
- User can explore each path and see related job recommendations",Medium,Backlog,8,Phase 2 (Q4 2027),
E019,Career Path Advisory,Marcus / Priya / Emma,US067,Identify skill gaps for target career path,"As a user, I want to know what skills I need to develop to move into my target career path.","- System compares Master Profile against target career path requirements
- Identifies: missing skills, certifications, experience gaps
- Suggests: training courses, certifications, projects to build experience
- Links to external resources (Coursera, LinkedIn Learning, etc.) - optional affiliate links (transparent)
- Estimated time to close each gap",Medium,Backlog,5,Phase 2 (Q4 2027),
E019,Career Path Advisory,Marcus / Priya / Emma,US068,Recommend relevant training and certifications,"As a user, I want to see training and certification recommendations to advance my career.","- System recommends: certifications, courses, bootcamps relevant to target path
- Recommendations filtered by: industry, career level, time commitment, cost
- Links to training providers (optional affiliate model, transparent)
- Estimated ROI for each recommendation (salary increase potential)
- Disclaimer: 'Affiliate links may be present. We recommend based on relevance, not commission.'",Low,Backlog,5,Phase 2 (Q4 2027),
E020,Job Search & Application Automation,Marcus / Priya / Emma,US069,Curated job recommendations based on Master Profile,"As a user, I want to see job recommendations that match my profile so I don't have to search manually.","- System analyzes Master Profile and recommends 5-10 jobs per week
- Recommendations filtered by: location, salary range, industry, career level, regulatory expertise (if applicable)
- Each recommendation shows: match score, why it's a good fit, salary range, company info
- User can save jobs, dismiss recommendations, adjust filters
- Requires integration with job APIs (LinkedIn, Indeed, etc.) or manual curation",Medium,Backlog,8,Phase 3 (2028+),
E020,Job Search & Application Automation,Marcus / Priya / Emma,US070,One-click application preparation,"As a user, I want to prepare all application documents (CV, cover letter, etc.) with one click so I can apply faster.","- User clicks 'Apply' on a recommended job
- System automatically generates: tailored CV, cover letter, optional cover note
- All documents ready for download or direct submission
- User can review and edit before submitting
- Submission tracked in pipeline",Medium,Backlog,8,Phase 3 (2028+),
E020,Job Search & Application Automation,Marcus / Priya / Emma,US071,Autonomous job application submission (future),"As a user, I want the system to submit applications on my behalf so I can apply to more jobs with less effort.","- User grants permission for autonomous submissions
- System submits tailored CV + cover letter directly to job platform
- Submission tracked with timestamp, job details, confirmation
- User notified of submission status
- LEGAL REQUIREMENT: Requires explicit user consent, clear audit trail, ability to revoke
- REGULATORY REQUIREMENT: May require legal review for employment placement regulations (§ 296 SGB III)",Low,Backlog,13,Phase 3 (2028+) - Parked pending legal review,
